City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Lazaro Cardenas,MX,88.57,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
293,Kanepi,EE,67.12,broken clouds,57.982,26.7627,Hobbola puhkemaja
294,Azul,AR,57.34,overcast clouds,-36.777,-59.8585,Cabañas Dulcinea
295,Cutervo,PE,59.97,light rain,-6.379,-78.8157,Hotel Arena Blanca Cutervo
296,Menongue,AO,64.06,clear sky,-14.6585,17.691,Ritz Lauca
297,Bariadi,TZ,78.26,overcast clouds,-2.8,33.9833,Similas Guest House and Bar
298,Komsomolskiy,UZ,83.12,few clouds,40.4272,71.7189,Ikathouse
299,Ponta Do Sol,PT,75.13,scattered clouds,32.6667,-17.1,Hotel do Campo
300,Pangody,RU,49.71,broken clouds,65.85,74.4859,Elizaveta Shevchuk's House
301,Nedjo,ET,58.73,moderate rain,9.5046,35.5019,Yerosan Hotel
302,Morgan City,US,82.99,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
303,Ust-Tsilma,RU,59.76,overcast clouds,65.441,52.1498,U Praskov'i
304,Nova Mayachka,UA,82.6,overcast clouds,46.6,33.2271,"Dytyachyy Psykho-Nevrolohichnyy Sanatoriy ""Nadiya"""
305,Catio,GW,81.91,overcast clouds,11.2833,-15.25,Pausada Morabedja
306,College,US,53.1,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
307,Chitral,PK,80.82,clear sky,35.8462,71.7858,PTDC Motel Chitral
308,Canutama,BR,78.67,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
309,Vung Tau,VN,80.51,overcast clouds,10.346,107.0843,Seaside Resort
310,Udayagiri,IN,69.49,overcast clouds,20.1333,84.3833,Hotel Disha
311,Ribeira Grande,PT,75.6,light intensity shower rain,38.5167,-28.7,Quinta da Meia Eira
312,Korem,ET,59.02,light rain,12.5058,39.5228,Lakomeliza Hotel
313,Sainte-Rose,GP,86.04,broken clouds,16.3324,-61.6979,Habitation du Comté - Hotel à Sainte-Rose
314,Cayenne,GF,86.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
315,Visnes,NO,66.58,clear sky,59.3556,5.2242,Park Inn Haugesund Airport
316,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
317,Pasighat,IN,78.46,scattered clouds,28.0667,95.3333,Siang Guest House
318,Lakes Entrance,AU,44.17,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
319,San Patricio,US,96.19,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
320,Chifeng,CN,66.85,scattered clouds,42.2683,118.9636,Junyu Tiancheng Hotel
321,Mao,ES,84.76,clear sky,39.8885,4.2658,ARTIEM Capri
322,Neryungri,RU,53.13,moderate rain,56.6709,124.6491,Pyat' Zvozd
324,Bonavista,CA,57.69,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
325,Pandan,PH,78.96,overcast clouds,14.0453,124.1694,Bonifacio Lodge
326,Kalmunai,LK,79.57,overcast clouds,7.4167,81.8167,VS Villa
327,Abnub,EG,91.62,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
328,Grindavik,IS,50.47,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
